date,open,high,low,close,volume
2023-11-27,13.34,13.39,13.3001,13.38,35981.0
2023-11-28,13.41,13.44,13.37,13.39,36822.0
2023-11-29,13.46,13.47,13.41,13.41,46437.0
2023-11-30,13.35,13.4511,13.35,13.42,49527.0
2023-12-01,13.44,13.58,13.4,13.57,47446.0
2023-12-04,13.46,13.52,13.39,13.47,34163.0
2023-12-05,13.43,13.44,13.3314,13.36,54611.0
2023-12-06,13.37,13.4438,13.325,13.33,90820.0
2023-12-07,13.32,13.37,13.27,13.35,81938.0
2023-12-08,13.31,13.39,13.31,13.37,40673.0
2023-12-11,13.35,13.5,13.3401,13.49,93727.0
2023-12-12,13.5,13.5818,13.4402,13.52,62719.0
2023-12-13,13.58,13.71,13.54,13.67,131695.0
2023-12-14,13.74,13.84,13.74,13.78,79656.0
2023-12-15,13.73,13.82,13.71,13.82,38841.0
2023-12-18,13.85,13.91,13.75,13.8,59910.0
2023-12-19,13.85,13.94,13.85,13.87,70626.0
2023-12-20,13.87,13.93,13.67,13.67,66955.0
2023-12-21,13.7,13.785,13.68,13.72,46416.0
2023-12-22,13.83,13.88,13.7835,13.83,50826.0
2023-12-26,13.8,13.91,13.8,13.9,73454.0
2023-12-27,13.95,13.99,13.92,13.96,86166.0
2023-12-28,13.97,13.99,13.86,13.88,93340.0
2023-12-29,13.88,13.9583,13.82,13.87,49552.0
2024-01-02,13.83,13.95,13.83,13.9,62408.0
2024-01-03,13.91,13.95,13.88,13.92,97677.0
2024-01-04,13.99,14.03,13.91,13.91,96657.0
2024-01-05,13.87,14.0,13.87,13.96,65185.0
2024-01-08,13.95,14.1,13.95,14.03,103849.0
2024-01-09,14.02,14.0475,13.89,13.93,181744.0
2024-01-10,13.95,14.0,13.87,13.94,130850.0
2024-01-11,13.96,13.96,13.77,13.89,81268.0
2024-01-12,13.9,13.995,13.89,13.92,83936.0
2024-01-16,13.93,13.935,13.76,13.77,137740.0
2024-01-17,13.76,13.84,13.64,13.64,121581.0
2024-01-18,13.68,13.7587,13.67,13.67,191613.0
2024-01-19,13.73,13.89,13.7236,13.76,145704.0
2024-01-22,13.87,13.94,13.77,13.78,143392.0
2024-01-23,13.72,13.8,13.72,13.8,96069.0
2024-01-24,13.84,13.94,13.7887,13.92,100301.0
2024-01-25,13.99,14.05,13.98,14.01,84664.0
2024-01-26,14.04,14.14,13.95,14.12,108754.0
2024-01-29,14.16,14.18,14.05,14.18,90508.0
2024-01-30,14.08,14.26,14.07,14.19,89638.0
2024-01-31,14.23,14.27,14.05,14.06,134963.0
2024-02-01,14.06,14.16,14.01,14.15,124328.0
2024-02-02,14.15,14.2494,14.11,14.21,80546.0
2024-02-05,14.12,14.16,14.05,14.14,45658.0
2024-02-06,14.1,14.22,14.1,14.18,50703.0
2024-02-07,14.22,14.3494,14.22,14.31,55432.0
2024-02-08,14.25,14.35,14.23,14.33,46894.0
2024-02-09,14.33,14.36,14.27,14.32,27415.0
