date,open,high,low,close,volume
2023-11-27,45.52,45.74,45.3,45.39,1543754.0
2023-11-28,45.79,46.01,45.39,45.73,2160453.0
2023-11-29,46.93,47.58,46.87,47.01,3404799.0
2023-11-30,47.81,47.81,47.175,47.44,3845026.0
2023-12-01,47.48,47.84,47.125,47.84,2422659.0
2023-12-04,47.14,47.51,46.81,47.51,3564552.0
2023-12-05,47.75,48.005,47.275,47.48,2467604.0
2023-12-06,48.18,48.34,47.43,47.47,2475823.0
2023-12-07,47.05,47.97,46.93,47.76,3116155.0
2023-12-08,47.53,48.06,47.455,47.87,2754036.0
2023-12-11,47.56,48.375,47.51,48.26,3455106.0
2023-12-12,48.0,48.25,47.78,48.23,1555794.0
2023-12-13,48.04,48.9,47.52,48.77,2886445.0
2023-12-14,49.39,50.54,49.39,50.16,3709961.0
2023-12-15,50.99,51.27,50.42,50.42,4012718.0
2023-12-18,50.49,50.52,49.5,49.91,2280937.0
2023-12-19,50.22,50.52,50.14,50.43,1967681.0
2023-12-20,50.07,50.345,49.06,49.08,2898623.0
2023-12-21,49.92,50.37,49.71,50.24,2775917.0
2023-12-22,50.2,50.5,49.8,50.12,1551394.0
2023-12-26,50.0,50.87,49.99,50.55,1689287.0
2023-12-27,50.71,50.94,50.5,50.9,1646325.0
2023-12-28,50.51,50.7,50.19,50.22,1890127.0
2023-12-29,50.31,50.455,49.84,50.13,1693176.0
2024-01-02,49.02,49.04,47.95,48.35,4128647.0
2024-01-03,47.15,47.31,46.6,46.99,3849555.0
2024-01-04,44.82,45.32,44.37,44.9,6135580.0
2024-01-05,44.75,45.415,44.4,44.61,3300548.0
2024-01-08,44.8,45.565,44.67,45.45,3119947.0
2024-01-09,44.34,44.89,44.28,44.67,3543872.0
2024-01-10,44.33,44.525,43.69,44.39,3331424.0
2024-01-11,44.24,44.65,43.58,44.24,3412513.0
2024-01-12,43.77,44.0,43.365,43.56,2723499.0
2024-01-16,42.97,43.56,42.695,43.55,4442931.0
2024-01-17,42.49,42.615,41.845,42.56,3458915.0
2024-01-18,43.95,44.14,43.36,43.99,4480228.0
2024-01-19,44.21,45.03,44.0,44.99,4295162.0
2024-01-22,45.19,45.5,45.05,45.33,2860553.0
2024-01-23,45.68,46.705,45.57,46.67,3701277.0
2024-01-24,46.3,46.84,45.61,45.96,6124406.0
2024-01-25,45.69,46.37,45.34,45.6,6583260.0
2024-01-26,44.44,45.18,44.34,44.62,7932870.0
2024-01-29,44.27,44.84,43.98,44.82,4083452.0
2024-01-30,45.02,45.14,44.23,44.34,2881514.0
2024-01-31,44.37,45.1,44.065,44.12,3978552.0
2024-02-01,44.21,44.41,43.84,44.29,3345876.0
2024-02-02,43.38,43.815,43.173,43.65,3480118.0
2024-02-05,44.15,44.84,43.88,44.75,3705001.0
2024-02-06,44.13,44.28,43.75,44.22,3865290.0
2024-02-07,43.84,44.1,43.425,44.03,4027758.0
2024-02-08,44.75,45.435,44.65,45.17,3710289.0
2024-02-09,45.78,46.3275,45.68,46.26,3101057.0
2024-02-12,46.36,46.6,45.85,45.86,2770690.0
2024-02-13,44.51,44.9,43.805,44.21,4199878.0
2024-02-14,44.67,45.04,44.52,44.99,2900022.0
2024-02-15,45.47,45.625,45.17,45.31,3094648.0
2024-02-16,45.79,45.98,45.16,45.18,3341684.0
2024-02-20,44.7,44.71,44.08,44.57,3697742.0
2024-02-21,44.37,44.66,44.02,44.62,2769056.0
2024-02-22,45.8,45.97,45.53,45.63,3461591.0
2024-02-23,45.82,45.85,44.66,44.75,3202239.0
2024-02-26,44.77,45.05,44.595,44.85,2519794.0
2024-02-27,45.67,46.975,45.475,46.31,3181619.0
2024-02-28,45.27,45.32,44.82,44.92,2109252.0
2024-02-29,45.3,45.715,45.04,45.62,2682156.0
2024-03-01,46.11,47.34,46.04,47.17,3484868.0
