date,open,high,low,close,volume
2023-11-27,1.23,1.28,1.2027,1.25,48271.0
2023-11-28,1.28,1.33,1.28,1.33,18316.0
2023-11-29,1.3035,1.35,1.3035,1.34,17232.0
2023-11-30,1.31,1.35,1.305,1.34,15701.0
2023-12-01,1.36,1.53,1.355,1.48,109103.0
2023-12-04,1.5,1.55,1.47,1.52,23238.0
2023-12-05,1.49,1.55,1.37,1.3901,56047.0
2023-12-06,1.41,1.5,1.38,1.49,33278.0
2023-12-07,1.46,1.55,1.44,1.53,17240.0
2023-12-08,1.42,1.6,1.4,1.52,88302.0
2023-12-11,1.49,1.53,1.4497,1.49,19798.0
2023-12-12,1.46,1.5,1.38,1.38,66857.0
2023-12-13,1.412,1.44,1.37,1.37,10051.0
2023-12-14,1.36,1.43,1.36,1.39,15760.0
2023-12-15,1.43,1.54,1.42,1.51,55318.0
2023-12-18,1.5023,1.5398,1.46,1.46,14811.0
2023-12-19,1.53,1.53,1.45,1.46,10742.0
2023-12-20,1.38,1.51,1.38,1.44,23569.0
2023-12-21,1.42,1.54,1.42,1.53,17605.0
2023-12-22,1.53,1.6,1.5,1.6,51435.0
2023-12-26,1.57,1.59,1.472,1.56,28465.0
2023-12-27,1.53,1.58,1.48,1.56,19717.0
2023-12-28,1.52,1.6084,1.47,1.51,32216.0
2023-12-29,1.51,1.5365,1.44,1.48,8323.0
2024-01-02,1.49,1.52,1.43,1.46,18063.0
2024-01-03,1.46,1.5,1.43,1.5,12997.0
2024-01-04,1.5,1.62,1.4913,1.5707,18100.0
2024-01-05,1.61,1.67,1.54,1.63,77625.0
2024-01-08,1.67,1.67,1.61,1.67,32085.0
2024-01-09,1.65,1.67,1.64,1.67,9272.0
2024-01-10,1.67,1.74,1.62,1.74,31851.0
2024-01-11,1.74,1.74,1.58,1.62,30776.0
2024-01-12,1.58,1.65,1.5401,1.56,22105.0
2024-01-16,1.608,1.66,1.5411,1.59,21682.0
2024-01-17,1.53,1.57,1.515,1.53,6404.0
2024-01-18,1.5151,1.5382,1.4,1.449,13194.0
2024-01-19,1.43,1.5,1.4,1.5,15238.0
2024-01-22,1.48,1.59,1.48,1.54,22375.0
2024-01-23,1.5203,1.6,1.52,1.56,15615.0
2024-01-24,1.51,1.6,1.51,1.6,4426.0
2024-01-25,1.54,1.6898,1.54,1.65,11197.0
2024-01-26,1.67,1.68,1.5601,1.61,17721.0
2024-01-29,1.6,1.63,1.52,1.52,37069.0
2024-01-30,1.64,1.64,1.57,1.63,15584.0
2024-01-31,1.49,1.61,1.49,1.53,18871.0
2024-02-01,1.5299,1.63,1.5299,1.58,13093.0
2024-02-02,1.56,1.56,1.35,1.515,39637.0
2024-02-05,1.48,1.57,1.4401,1.51,2923.0
2024-02-06,1.485,1.51,1.4701,1.51,2456.0
2024-02-07,1.4601,1.51,1.4601,1.5,4248.0
2024-02-08,1.425,1.52,1.425,1.45,27451.0
2024-02-09,1.4702,1.52,1.4702,1.51,17416.0
2024-02-12,1.48,1.5876,1.45,1.49,56223.0
2024-02-13,1.4979,1.56,1.495,1.56,15146.0
2024-02-14,1.52,1.56,1.49,1.56,20182.0
2024-02-15,1.55,1.57,1.5,1.55,30914.0
2024-02-16,1.53,1.63,1.53,1.61,49897.0
2024-02-20,1.56,1.59,1.5,1.5,23022.0
2024-02-21,1.514,1.57,1.51,1.545,22845.0
2024-02-22,1.55,1.57,1.5127,1.57,5060.0
2024-02-23,1.56,1.61,1.56,1.61,10831.0
2024-02-26,1.58,1.6296,1.51,1.58,32292.0
2024-02-27,1.59,1.6,1.54,1.59,16356.0
2024-02-28,1.53,1.58,1.53,1.58,11368.0
2024-02-29,1.55,1.57,1.46,1.5,31263.0
2024-03-01,1.5112,1.55,1.48,1.48,5160.0
2024-03-04,1.4901,1.525,1.431,1.49,16730.0
2024-03-05,1.44,1.44,1.37,1.43,12301.0
2024-03-06,1.4,1.44,1.4,1.41,13941.0
2024-03-07,1.38,1.43,1.3701,1.39,28074.0
2024-03-08,1.43,1.44,1.372,1.41,14516.0
2024-03-11,1.4,1.44,1.4,1.44,11379.0
2024-03-12,1.38,1.4399,1.32,1.32,18311.0
2024-03-13,1.33,1.41,1.3,1.36,38738.0
