date,open,high,low,close,volume
2023-11-27,17.72,17.72,17.17,17.2,634730.0
2023-11-28,17.26,17.64,17.21,17.55,595923.0
2023-11-29,17.37,17.565,17.37,17.42,315172.0
2023-11-30,17.35,17.67,17.275,17.63,328356.0
2023-12-01,17.51,17.79,17.46,17.75,357764.0
2023-12-04,17.56,17.67,17.49,17.53,341094.0
2023-12-05,17.51,17.88,17.5,17.85,458854.0
2023-12-06,18.11,18.245,18.07,18.17,505755.0
2023-12-07,17.88,18.03,17.66,17.98,298411.0
2023-12-08,17.97,18.23,17.955,18.16,340643.0
2023-12-11,18.26,18.29,18.1,18.18,442718.0
2023-12-12,18.12,18.145,17.995,18.05,314962.0
2023-12-13,18.11,18.675,18.07,18.59,638848.0
2023-12-14,18.77,18.94,18.67,18.82,552986.0
2023-12-15,18.64,18.645,18.14,18.22,339592.0
2023-12-18,18.28,18.7,18.16,18.68,1154975.0
2023-12-19,18.81,18.86,18.61,18.77,391385.0
2023-12-20,18.66,18.72,18.425,18.46,302506.0
2023-12-21,18.54,18.625,18.325,18.44,418474.0
2023-12-22,18.25,18.42,18.18,18.34,285348.0
2023-12-26,18.44,18.575,18.322,18.54,151492.0
2023-12-27,18.47,18.63,18.42,18.59,326208.0
2023-12-28,18.51,18.66,18.41,18.48,180847.0
2023-12-29,18.49,18.52,18.28,18.47,196874.0
2024-01-02,18.28,18.34,18.01,18.09,750799.0
2024-01-03,18.01,18.21,17.9709,18.04,468266.0
2024-01-04,17.69,17.84,17.64,17.77,278716.0
2024-01-05,17.79,17.84,17.61,17.63,237155.0
2024-01-08,17.71,17.83,17.665,17.8,302390.0
2024-01-09,17.68,17.79,17.59,17.66,355913.0
2024-01-10,17.68,17.775,17.6,17.67,417167.0
2024-01-11,17.68,17.69,17.39,17.49,546301.0
2024-01-12,17.66,17.84,17.61,17.84,424056.0
2024-01-16,17.61,17.61,17.34,17.48,384297.0
2024-01-17,17.58,17.78,17.58,17.72,564813.0
