date,open,high,low,close,volume
2023-11-27,53.4,53.61,52.92,52.99,31231.0
2023-11-28,53.07,53.18,52.42,52.68,28255.0
2023-11-29,52.76,54.22,52.76,53.48,42074.0
2023-11-30,53.63,54.09,52.51,52.97,72528.0
2023-12-01,53.11,56.1,52.5,55.86,69632.0
2023-12-04,56.0,57.43,55.64,57.43,48687.0
2023-12-05,56.73,58.39,56.4,56.92,55322.0
2023-12-06,56.93,59.01,56.59,56.64,56643.0
2023-12-07,56.58,57.7,56.53,57.32,60522.0
2023-12-08,58.36,58.83,57.92,58.69,34988.0
2023-12-11,58.77,58.81,58.07,58.71,44028.0
2023-12-12,59.06,59.06,57.605,58.03,38606.0
2023-12-13,58.82,62.0,58.165,61.55,114795.0
2023-12-14,63.67,64.11,62.67,63.75,80413.0
2023-12-15,63.86,64.71,63.1601,63.28,288103.0
2023-12-18,63.65,63.65,60.8538,62.31,48449.0
2023-12-19,62.67,63.89,62.57,63.33,67944.0
2023-12-20,63.2,65.54,62.9,63.14,82235.0
2023-12-21,64.01,64.01,61.57,62.55,56603.0
2023-12-22,63.33,63.64,61.42,62.37,68590.0
2023-12-26,62.8,63.125,62.05,62.68,104954.0
2023-12-27,63.0,63.095,61.64,61.82,53457.0
2023-12-28,61.41,61.79,60.72,60.97,39829.0
2023-12-29,60.92,60.92,59.61,60.23,44506.0
2024-01-02,59.48,60.55,58.88,59.28,102360.0
2024-01-03,58.92,59.49,56.14,56.34,87388.0
2024-01-04,56.66,56.82,55.72,55.9,77628.0
2024-01-05,55.66,56.4,55.66,55.85,65970.0
2024-01-08,55.8,56.0,54.65,55.22,55403.0
2024-01-09,54.56,54.58,53.72,54.08,83411.0
2024-01-10,54.42,54.565,53.62,54.34,90105.0
2024-01-11,53.8,54.13,52.95,53.77,101104.0
2024-01-12,54.39,54.39,52.82,53.47,62554.0
2024-01-16,52.77,52.92,51.9,52.08,63444.0
2024-01-17,51.45,52.28,51.34,51.94,64838.0
2024-01-18,52.1,52.57,51.4,52.27,53784.0
2024-01-19,52.37,53.33,51.8,53.24,54927.0
2024-01-22,53.69,55.89,53.69,55.73,132731.0
2024-01-23,55.92,56.12,54.71,54.75,58254.0
2024-01-24,55.07,56.11,54.698,55.52,62977.0
2024-01-25,56.4,56.46,53.95,54.34,60014.0
2024-01-26,54.73,54.73,52.8563,53.84,55930.0
2024-01-29,54.12,54.79,53.555,54.63,67065.0
2024-01-30,54.03,54.41,53.165,53.7,60048.0
2024-01-31,52.64,52.64,49.39,49.39,134341.0
2024-02-01,49.94,50.25,47.69,49.0,138919.0
2024-02-02,48.01,49.08,48.0,48.56,98480.0
2024-02-05,48.09,48.79,47.81,48.53,96345.0
2024-02-06,48.45,50.21,48.45,50.2,95188.0
2024-02-07,50.25,50.25,48.26,48.66,95733.0
2024-02-08,47.7,48.805,47.7,48.41,80757.0
2024-02-09,48.36,50.005,48.0301,49.79,75879.0
2024-02-12,49.7,51.5,49.7,51.11,50701.0
2024-02-13,49.41,49.41,47.25,47.73,105498.0
2024-02-14,48.71,48.99,47.61,48.5,46939.0
2024-02-15,48.78,51.0075,48.78,50.96,66853.0
2024-02-16,50.65,51.7699,49.8875,51.24,82821.0
2024-02-20,50.48,51.36,49.755,50.24,56638.0
2024-02-21,50.29,50.43,49.63,49.69,45124.0
2024-02-22,49.75,49.9037,48.35,48.42,56855.0
2024-02-23,48.61,48.85,48.01,48.8,43089.0
2024-02-26,48.49,48.615,47.26,48.01,45752.0
2024-02-27,47.68,48.62,47.645,47.74,45125.0
2024-02-28,47.51,48.27,47.45,47.53,56281.0
2024-02-29,48.0,48.9128,47.6871,48.16,48601.0
2024-03-01,47.7,48.84,47.3,48.52,76009.0
2024-03-04,48.69,49.27,47.68,47.69,35492.0
2024-03-05,47.65,50.095,47.65,49.25,63051.0
2024-03-06,49.57,50.16,48.05,49.68,59831.0
2024-03-07,50.19,50.53,49.57,49.61,38078.0
2024-03-08,50.01,50.47,49.64,50.21,45304.0
2024-03-11,50.16,50.54,50.1,50.15,43825.0
2024-03-12,50.31,50.4599,49.06,49.2,37337.0
2024-03-13,49.07,49.93,48.81,48.94,46060.0
2024-03-14,48.84,48.84,47.18,47.48,69520.0
2024-03-15,47.43,48.79,47.43,48.42,238142.0
2024-03-18,48.33,48.33,46.84,46.97,88808.0
2024-03-19,47.11,47.5,46.59,46.63,80555.0
2024-03-20,46.65,48.95,46.31,48.73,62691.0
2024-03-21,48.95,49.5,48.4475,49.11,54684.0
2024-03-22,48.7,49.17,47.57,47.86,42277.0
2024-03-25,47.64,48.57,47.5,47.8,27195.0
2024-03-26,48.07,48.07,47.525,47.62,59217.0
2024-03-27,48.36,49.85,48.23,49.64,53228.0
2024-03-28,49.48,50.5,49.07,50.29,75106.0
2024-04-01,50.4,50.4,48.54,48.9,44122.0
2024-04-02,48.2,48.22,47.49,47.68,66554.0
