date,open,high,low,close,volume
2023-11-27,23.08,23.08,22.77,22.79,45831.0
2023-11-28,22.86,22.88,22.5101,22.82,46263.0
2023-11-29,23.07,23.11,22.82,22.93,60103.0
2023-11-30,23.01,23.14,22.72,22.83,74963.0
2023-12-01,22.66,23.56,22.535,23.52,83573.0
2023-12-04,23.45,24.525,23.45,24.33,99091.0
2023-12-05,24.36,24.445,24.1,24.24,63889.0
2023-12-06,24.25,24.28,23.7,23.9,270187.0
2023-12-07,24.0,24.335,23.9,24.26,62653.0
2023-12-08,24.2,24.34,23.9,24.25,74353.0
2023-12-11,24.17,24.43,24.014,24.25,65586.0
2023-12-12,24.35,24.35,24.0138,24.26,68481.0
2023-12-13,24.25,25.24,24.2,25.07,158376.0
2023-12-14,25.26,25.52,24.73,24.82,94668.0
2023-12-15,25.15,25.15,24.42,24.45,197378.0
2023-12-18,24.59,24.7898,24.4,24.51,62493.0
2023-12-19,24.67,25.28,24.49,25.14,350641.0
2023-12-20,25.13,25.45,24.925,25.06,434982.0
2023-12-21,25.0,25.47,25.0,25.4,233956.0
2023-12-22,25.58,25.71,25.34,25.39,231047.0
2023-12-26,25.57,26.37,25.43,26.35,150522.0
2023-12-27,26.31,26.56,26.225,26.35,66384.0
2023-12-28,26.19,26.56,26.19,26.35,140751.0
2023-12-29,26.41,26.41,26.21,26.32,134976.0
2024-01-02,26.32,26.69,25.9,26.07,149908.0
2024-01-03,25.92,26.0,25.45,25.48,107901.0
2024-01-04,25.38,25.7815,25.24,25.42,122175.0
2024-01-05,25.25,25.98,25.25,25.71,122291.0
2024-01-08,25.76,26.4,25.74,26.33,112185.0
2024-01-09,25.97,26.25,25.15,25.21,75480.0
2024-01-10,25.07,25.33,24.8798,25.33,145872.0
2024-01-11,25.18,25.3575,24.93,25.32,312018.0
2024-01-12,25.68,25.705,25.12,25.16,84771.0
2024-01-16,25.03,25.16,24.78,25.0,212263.0
2024-01-17,24.69,25.45,24.66,25.01,181579.0
2024-01-18,25.07,25.2,24.64,24.78,146591.0
2024-01-19,24.92,24.96,24.24,24.49,82014.0
2024-01-22,24.56,25.08,24.56,25.07,60640.0
2024-01-23,25.37,25.37,24.775,24.98,59184.0
2024-01-24,25.27,25.27,24.64,24.95,67168.0
2024-01-25,25.29,25.39,25.1,25.37,72289.0
2024-01-26,25.5,25.56,25.22,25.32,82473.0
2024-01-29,25.41,25.71,25.395,25.65,109175.0
2024-01-30,25.5,25.81,25.1,25.55,57545.0
2024-01-31,25.46,25.57,24.26,24.29,398126.0
2024-02-01,24.39,24.965,24.154,24.84,179322.0
2024-02-02,24.53,24.665,24.445,24.56,133753.0
2024-02-05,24.34,24.34,23.51,23.52,54806.0
2024-02-06,23.59,23.66,23.09,23.46,134464.0
2024-02-07,23.44,23.44,22.595,22.94,112789.0
2024-02-08,22.97,23.08,22.7225,22.97,137001.0
2024-02-09,23.05,23.05,22.71,22.79,68839.0
2024-02-12,22.82,23.66,22.82,23.47,116778.0
2024-02-13,22.71,22.775,21.98,22.15,129464.0
2024-02-14,22.51,22.75,22.17,22.64,102307.0
2024-02-15,22.86,23.13,22.68,23.06,91819.0
2024-02-16,22.8,22.97,22.55,22.94,119179.0
2024-02-20,22.7,23.18,22.61,22.7,71917.0
2024-02-21,22.7,23.03,22.7,22.88,91707.0
2024-02-22,22.82,22.93,22.48,22.8,97197.0
2024-02-23,22.81,22.885,22.47,22.68,63659.0
2024-02-26,22.58,22.75,22.47,22.65,67875.0
2024-02-27,22.83,22.99,22.69,22.95,132483.0
2024-02-28,24.67,25.9905,23.95,24.69,286151.0
2024-02-29,25.25,25.5,24.27,25.3,186879.0
2024-03-01,25.25,26.54,25.17,26.52,173127.0
2024-03-04,26.61,26.66,25.79,26.39,173207.0
2024-03-05,26.36,26.85,25.81,26.11,107337.0
2024-03-06,26.35,27.02,26.136,27.0,108517.0
2024-03-07,27.04,27.54,26.87,27.43,91818.0
2024-03-08,27.64,27.95,27.03,27.33,82421.0
2024-03-11,26.87,27.25,26.35,27.19,125298.0
2024-03-12,27.31,27.51,26.74,27.46,108693.0
2024-03-13,27.47,28.09,27.325,27.83,390626.0
2024-03-14,27.83,28.12,27.44,27.65,124152.0
2024-03-15,27.43,27.8565,27.18,27.65,231230.0
2024-03-18,27.75,28.26,27.61,27.82,171860.0
2024-03-19,27.78,28.53,27.77,28.51,117669.0
2024-03-20,28.38,29.36,28.23,29.28,112992.0
2024-03-21,29.4,29.86,28.99,29.26,192847.0
2024-03-22,29.19,29.2,28.79,28.93,86680.0
2024-03-25,28.95,29.17,28.57,28.78,71589.0
2024-03-26,28.96,29.03,28.6,28.72,113452.0
2024-03-27,28.9,29.3,28.895,29.24,85816.0
2024-03-28,29.22,29.54,29.05,29.3,106806.0
2024-04-01,29.37,29.56,28.9,29.12,103285.0
2024-04-02,28.97,29.03,28.2831,28.65,78406.0
2024-04-03,28.44,28.82,28.21,28.28,83279.0
2024-04-04,28.44,28.515,27.43,27.51,83136.0
2024-04-05,27.45,27.64,27.19,27.46,60887.0
2024-04-08,27.57,27.91,27.52,27.67,70843.0
2024-04-09,27.9,28.2,27.85,28.06,54891.0
2024-04-10,27.5,27.88,27.3,27.49,95275.0
2024-04-11,27.58,27.65,27.1,27.6,57041.0
2024-04-12,27.32,27.32,26.96,26.96,64906.0
2024-04-15,27.21,27.21,26.5,26.69,62493.0
2024-04-16,26.65,27.23,26.45,27.19,58265.0
2024-04-17,27.31,27.48,26.58,26.59,71407.0
2024-04-18,26.67,27.085,26.67,27.0,73430.0
2024-04-19,26.92,27.8,26.87,27.68,77020.0
2024-04-22,27.68,27.755,27.475,27.52,86467.0
2024-04-23,27.67,28.445,27.65,28.06,67883.0
2024-04-24,27.8,28.26,27.74,28.13,54499.0
2024-04-25,27.88,27.91,27.57,27.78,51785.0
2024-04-26,27.66,28.34,27.48,28.24,81171.0
2024-04-29,28.5,28.555,28.16,28.41,59409.0
2024-04-30,28.32,29.11,28.27,28.84,77137.0
2024-05-01,28.85,29.76,28.85,29.19,189482.0
2024-05-02,30.97,32.73,30.5875,32.57,451909.0
2024-05-03,33.71,34.0,32.35,32.73,176173.0
2024-05-06,33.03,33.77,32.915,33.44,133925.0
2024-05-07,33.7,33.9686,33.0,33.0,133678.0
2024-05-08,32.88,33.29,32.53,33.13,94182.0
2024-05-09,33.2,33.82,32.945,33.7,123813.0
2024-05-10,33.7,34.329,33.575,34.08,145575.0
