date,open,high,low,close,volume
2023-11-27,55.47,56.455,55.29,56.06,19101870.0
2023-11-28,55.98,56.45,55.69,56.21,20457495.0
2023-11-29,56.49,57.13,56.145,56.4,23496211.0
2023-11-30,56.61,56.77,55.53,56.38,32769812.0
2023-12-01,56.67,57.865,56.25,57.35,28539897.0
2023-12-04,60.01,60.92,58.57,58.63,85417307.0
2023-12-05,58.01,58.66,57.7006,57.97,39170598.0
2023-12-06,58.37,59.98,58.36,59.75,32168978.0
2023-12-07,59.67,60.995,59.525,60.98,34410194.0
2023-12-08,60.51,62.25,60.51,61.7,28852116.0
2023-12-11,61.53,62.99,60.94,62.46,30389677.0
2023-12-12,62.065,63.025,61.8301,62.72,27144311.0
2023-12-13,62.71,62.88,61.45,61.97,41661681.0
2023-12-14,62.01,62.81,60.61,62.5,44818142.0
2023-12-15,62.16,63.53,61.41,61.86,364261230.0
2023-12-18,62.01,62.49,61.33,61.73,28614030.0
2023-12-19,61.88,62.7,61.69,62.12,25719566.0
2023-12-20,61.49,62.28,60.62,60.68,28286061.0
2023-12-21,61.24,61.76,60.825,61.46,19999593.0
2023-12-22,61.7,62.235,61.28,61.71,14715609.0
2023-12-26,61.71,62.2,61.3136,61.98,16077192.0
2023-12-27,62.0,63.43,62.0,63.28,20760444.0
2023-12-28,63.45,63.53,62.835,63.14,13795595.0
2023-12-29,62.36,63.14,61.3,61.57,21615424.0
2024-01-02,60.73,60.91,57.93,58.38,41978581.0
2024-01-03,57.48,58.895,57.33,58.25,31800559.0
2024-01-04,58.25,58.985,57.73,57.8,20370664.0
2024-01-05,58.11,58.51,57.22,57.58,17833362.0
2024-01-08,58.09,59.16,57.85,59.01,21213042.0
2024-01-09,58.5,60.54,58.45,60.3,22319853.0
2024-01-10,60.28,62.61,60.28,62.41,30788925.0
2024-01-11,62.99,63.61,61.86,63.47,28888928.0
2024-01-12,63.2,64.92,63.0,63.2,26374740.0
2024-01-16,63.0,64.0,62.92,63.65,19511781.0
2024-01-17,62.95,63.42,61.68,63.12,19971592.0
2024-01-18,64.0,65.0,63.385,64.88,24149938.0
2024-01-19,64.9,65.385,64.41,65.11,20339427.0
2024-01-22,65.44,65.61,64.15,64.55,17851716.0
2024-01-23,64.5,64.81,63.69,64.32,13619608.0
2024-01-24,64.0,64.3975,63.22,63.76,17203714.0
2024-01-25,64.28,66.03,63.71,66.0,21962965.0
2024-01-26,65.65,66.045,65.29,65.52,13099618.0
2024-01-29,65.6,67.1,65.56,66.98,15902036.0
2024-01-30,66.9,67.69,66.22,66.84,17562145.0
2024-01-31,65.7,66.25,64.845,65.27,17026414.0
2024-02-01,66.12,66.85,65.59,66.73,12504225.0
2024-02-02,66.98,68.25,66.51,68.07,18671765.0
2024-02-05,68.24,69.99,67.855,68.99,26079529.0
2024-02-06,69.06,70.68,68.44,70.47,34596121.0
2024-02-07,67.595,71.9,67.24,70.65,43366951.0
2024-02-08,71.93,73.05,71.195,71.61,21618176.0
2024-02-09,71.43,72.04,69.69,70.91,20858737.0
2024-02-12,71.0,71.38,68.735,69.12,19554941.0
2024-02-13,67.895,69.55,66.71,68.99,22857142.0
2024-02-14,74.6,79.2,74.31,79.15,69846652.0
2024-02-15,79.0,81.865,78.28,81.39,40330151.0
2024-02-16,80.55,80.88,78.11,78.41,24457475.0
2024-02-20,78.23,78.42,75.82,76.6,23816359.0
2024-02-21,76.32,77.49,75.875,76.44,15102053.0
2024-02-22,79.59,79.72,77.51,78.03,16766442.0
2024-02-23,78.5,78.97,77.72,78.2,15648826.0
2024-02-26,78.28,78.5,77.3,78.36,16617286.0
2024-02-27,78.64,79.75,77.8133,78.75,13707348.0
2024-02-28,78.6,78.66,77.42,77.73,11853130.0
2024-02-29,78.35,79.68,77.93,79.5,19405546.0
2024-03-01,79.5,81.47,79.32,81.03,18528745.0
2024-03-04,81.94,82.14,80.79,81.3,15989175.0
2024-03-05,80.83,80.85,77.43,79.09,19761584.0
2024-03-06,80.17,80.99,78.53,78.64,13734710.0
2024-03-07,79.4,80.075,78.26,79.41,13873312.0
2024-03-08,79.94,81.98,78.2101,78.7,16414858.0
2024-03-11,78.7,78.89,76.53,77.47,13565505.0
2024-03-12,78.01,78.48,77.48,78.32,11032395.0
2024-03-13,78.0,79.6911,77.93,78.25,12011118.0
2024-03-14,78.34,78.48,76.9,77.65,12728267.0
2024-03-15,77.0,77.84,75.77,76.07,24554947.0
2024-03-18,77.0,77.0,73.66,75.7,18936712.0
2024-03-19,75.38,77.18,74.19,77.08,13035194.0
2024-03-20,77.09,78.95,76.75,78.64,11490382.0
2024-03-21,79.6,81.23,79.09,80.25,16191090.0
2024-03-22,79.8,80.45,79.2,80.23,8872408.0
2024-03-25,79.99,81.04,79.39,79.41,10254259.0
2024-03-26,79.8,80.18,77.78,77.91,12438286.0
2024-03-27,78.96,79.0,76.85,78.11,13156953.0
