date,open,high,low,close,volume
2023-11-27,1.04,1.04,0.8264,0.9,16023.0
2023-11-28,0.9001,0.99,0.88,0.961,4695.0
2023-11-29,0.91,0.9606,0.8811,0.96,2484.0
2023-11-30,0.9,0.9841,0.8,0.8448,11813.0
2023-12-01,0.8,0.9647,0.8,0.8999,29727.0
2023-12-04,0.9203,1.23,0.92,1.12,59572.0
2023-12-05,1.07,1.19,0.961,1.01,37074.0
2023-12-06,1.01,1.22,1.0,1.15,68066.0
2023-12-07,1.21,1.53,1.21,1.42,279764.0
2023-12-08,1.43,1.4899,1.37,1.42,29596.0
2023-12-11,1.42,1.449,1.35,1.439,7954.0
2023-12-12,1.4,1.45,1.4,1.45,3404.0
2023-12-13,1.41,1.6642,1.41,1.541,13815.0
2023-12-14,1.51,1.599,1.46,1.46,2706.0
2023-12-15,1.46,1.55,1.46,1.46,1523.0
2023-12-18,1.44,1.499,1.03,1.09,33445.0
2023-12-19,1.5,1.5,1.13,1.33,42681.0
2023-12-20,1.29,1.355,1.1,1.17,39859.0
2023-12-21,1.15,1.26,1.13,1.1903,5311.0
2023-12-22,1.55,1.55,1.26,1.308,55021.0
2023-12-26,1.62,1.74,1.6,1.6,76315.0
2023-12-27,1.67,1.85,1.63,1.85,86873.0
2023-12-28,1.9,2.0,1.76,2.0,69929.0
2023-12-29,1.86,2.03,1.76,2.01,13266.0
2024-01-02,1.9891,1.9891,1.8652,1.88,1201.0
2024-01-03,1.75,1.75,1.53,1.55,5126.0
2024-01-04,1.49,1.57,1.2225,1.5015,39727.0
2024-01-05,1.46,1.8499,1.46,1.67,4265.0
2024-01-08,1.7,2.71,1.7,2.28,1538203.0
2024-01-09,2.14,2.2,2.05,2.16,146864.0
2024-01-10,2.4,2.69,2.35,2.57,334521.0
2024-01-11,2.71,2.82,2.65,2.82,89511.0
2024-01-12,2.8,2.8,2.7,2.71,53517.0
2024-01-16,2.71,3.0,2.02,2.72,211820.0
2024-01-17,2.18,2.63,2.18,2.42,19736.0
2024-01-18,2.44,2.68,2.16,2.19,119599.0
2024-01-19,2.4363,2.55,2.19,2.2,9894.0
2024-01-22,2.31,2.53,2.06,2.14,17022.0
2024-01-23,2.15,2.2,2.01,2.03,8707.0
2024-01-24,1.91,2.1,1.89,1.89,14784.0
2024-01-25,1.89,1.98,1.662,1.76,54614.0
2024-01-26,1.84,2.17,1.84,1.96,40159.0
2024-01-29,2.01,2.4448,1.9601,2.39,54076.0
2024-01-30,2.37,2.37,2.0,2.04,59479.0
2024-01-31,1.98,2.38,1.98,2.09,19380.0
2024-02-01,2.15,2.25,1.98,1.98,18580.0
2024-02-02,2.18,2.94,2.0091,2.41,617618.0
2024-02-05,2.41,2.5327,1.95,1.96,183977.0
2024-02-06,1.94,2.065,1.6001,1.66,38026.0
2024-02-07,1.66,1.7154,1.66,1.66,13286.0
2024-02-08,1.66,1.66,1.1373,1.275,67653.0
2024-02-09,1.25,1.3792,1.22,1.22,13753.0
2024-02-12,1.22,1.34,1.22,1.3299,17785.0
2024-02-13,1.33,1.4199,1.33,1.37,21607.0
2024-02-14,1.42,1.64,1.4,1.575,56554.0
2024-02-15,1.63,1.76,1.61,1.72,33872.0
2024-02-16,1.79,2.49,1.6,2.46,716996.0
2024-02-20,1.82,1.94,1.73,1.76,140940.0
