date,open,high,low,close,volume
2023-11-27,4.77,4.83,4.57,4.71,315272.0
2023-11-28,4.69,4.995,4.6165,4.97,177009.0
2023-11-29,5.0,5.2778,4.97,4.97,425117.0
2023-11-30,5.01,5.05,4.66,4.72,1118886.0
2023-12-01,4.78,5.011,4.75,4.95,330130.0
2023-12-04,4.91,4.98,4.695,4.95,273309.0
2023-12-05,4.89,5.02,4.79,4.98,159243.0
2023-12-06,4.99,5.03,4.68,4.71,169043.0
2023-12-07,4.72,4.76,4.46,4.53,135178.0
2023-12-08,4.62,4.62,4.41,4.56,95622.0
2023-12-11,4.5,4.555,4.42,4.45,145098.0
2023-12-12,4.53,4.53,4.375,4.38,143119.0
2023-12-13,4.38,4.67,4.22,4.52,295254.0
2023-12-14,4.63,4.83,4.615,4.72,213404.0
2023-12-15,4.75,4.75,4.41,4.61,272636.0
2023-12-18,4.58,4.67,4.49,4.49,197067.0
2023-12-19,4.51,4.56,4.32,4.43,293888.0
2023-12-20,4.41,4.41,4.1,4.13,234442.0
2023-12-21,4.25,4.36,4.17,4.23,143594.0
2023-12-22,4.26,4.29,4.185,4.21,99071.0
2023-12-26,4.2,4.37,4.2,4.27,232202.0
2023-12-27,4.29,4.565,4.2488,4.4,219143.0
2023-12-28,4.35,4.43,4.31,4.37,127453.0
2023-12-29,4.37,4.4121,4.17,4.23,296663.0
2024-01-02,4.2,4.39,4.18,4.23,210161.0
2024-01-03,4.18,4.25,4.09,4.1,215356.0
2024-01-04,4.07,4.205,4.0,4.18,195306.0
2024-01-05,4.17,4.34,4.1,4.1,185353.0
2024-01-08,4.11,4.21,4.045,4.14,131677.0
2024-01-09,4.12,4.135,3.92,3.96,302625.0
2024-01-10,3.95,4.09,3.905,4.01,234898.0
2024-01-11,4.02,4.16,3.96,4.11,177067.0
2024-01-12,4.14,4.225,4.03,4.05,169746.0
2024-01-16,4.1,4.1,3.8,3.86,170985.0
2024-01-17,3.91,3.91,3.72,3.78,129893.0
2024-01-18,3.84,3.93,3.745,3.91,131060.0
2024-01-19,3.93,4.06,3.82,4.06,115515.0
2024-01-22,4.09,4.21,4.035,4.12,207911.0
2024-01-23,4.16,4.21,4.06,4.13,138906.0
2024-01-24,4.24,4.24,4.06,4.08,150894.0
2024-01-25,4.12,4.12,4.01,4.08,108609.0
2024-01-26,4.1,4.19,4.1,4.14,81860.0
2024-01-29,4.15,4.335,4.1,4.29,83701.0
2024-01-30,4.27,4.28,4.14,4.17,80617.0
2024-01-31,4.17,4.29,4.135,4.15,152646.0
2024-02-01,4.2,4.38,4.18,4.3,150302.0
2024-02-02,4.25,4.455,4.17,4.34,127019.0
2024-02-05,4.31,4.535,4.2,4.45,219534.0
2024-02-06,4.45,4.495,4.415,4.44,120521.0
2024-02-07,4.47,4.48,4.33,4.43,170041.0
2024-02-08,4.41,4.665,4.4,4.66,148312.0
2024-02-09,4.43,4.75,4.43,4.68,231015.0
2024-02-12,4.65,4.945,4.65,4.89,110415.0
2024-02-13,4.75,4.75,4.43,4.44,125998.0
2024-02-14,4.54,4.7,4.48,4.68,99974.0
2024-02-15,4.76,4.76,4.565,4.71,130776.0
2024-02-16,4.64,4.89,4.58,4.79,178975.0
2024-02-20,4.77,4.825,4.71,4.74,146028.0
2024-02-21,4.69,4.6958,4.51,4.52,147902.0
2024-02-22,4.64,4.64,4.42,4.42,139140.0
2024-02-23,3.79,3.88,2.6,2.82,1338454.0
2024-02-26,2.76,2.83,2.68,2.73,496793.0
2024-02-27,2.73,2.7598,2.58,2.58,511896.0
2024-02-28,2.58,2.67,2.43,2.64,515152.0
2024-02-29,2.69,3.03,2.64,2.93,500551.0
2024-03-01,2.94,3.2199,2.8,2.81,359565.0
2024-03-04,2.81,2.81,2.535,2.55,306901.0
2024-03-05,2.53,2.595,2.48,2.5,260811.0
2024-03-06,2.53,2.62,2.519,2.6,193537.0
2024-03-07,2.63,2.75,2.62,2.64,414634.0
2024-03-08,2.66,2.75,2.53,2.54,160481.0
2024-03-11,2.58,2.65,2.495,2.5,252971.0
2024-03-12,2.49,2.6,2.47,2.47,593095.0
2024-03-13,2.54,2.54,2.355,2.36,425327.0
2024-03-14,2.38,2.405,2.325,2.4,184338.0
2024-03-15,2.4,2.4261,2.38,2.41,122470.0
2024-03-18,2.39,2.51,2.345,2.46,261084.0
2024-03-19,2.45,2.59,2.45,2.52,165524.0
2024-03-20,2.52,2.71,2.47,2.62,236653.0
2024-03-21,2.63,2.825,2.63,2.8,164228.0
2024-03-22,2.8,2.925,2.8,2.81,154561.0
2024-03-25,2.8,3.18,2.8,3.01,300516.0
2024-03-26,3.05,3.2,3.04,3.05,209470.0
2024-03-27,3.06,3.085,2.975,3.04,393126.0
2024-03-28,3.03,3.24,3.0,3.09,282587.0
2024-04-01,3.12,3.12,2.845,2.89,155897.0
2024-04-02,2.86,2.895,2.785,2.86,112674.0
2024-04-03,2.81,2.95,2.805,2.84,143219.0
2024-04-04,2.88,2.9801,2.825,2.87,86759.0
2024-04-05,2.83,2.905,2.79,2.89,97507.0
2024-04-08,2.89,2.94,2.818,2.87,63925.0
2024-04-09,2.89,3.12,2.89,3.03,141921.0
2024-04-10,3.1,3.11,2.78,2.87,176374.0
2024-04-11,2.86,2.9692,2.705,2.78,114693.0
2024-04-12,2.79,2.79,2.52,2.52,94201.0
2024-04-15,2.52,2.565,2.235,2.31,180920.0
2024-04-16,2.28,2.34,2.155,2.24,172803.0
2024-04-17,2.27,2.37,2.245,2.31,133913.0
2024-04-18,2.34,2.355,2.285,2.32,89347.0
2024-04-19,2.32,2.32,2.085,2.16,214821.0
2024-04-22,2.2,2.31,2.1744,2.27,157699.0
2024-04-23,2.25,2.325,2.21,2.21,104202.0
2024-04-24,2.22,2.28,2.158,2.245,110791.0
2024-04-25,2.35,2.355,2.135,2.16,137651.0
2024-04-26,2.2,2.235,2.16,2.2,67085.0
2024-04-29,2.25,2.29,2.2399,2.26,63100.0
2024-04-30,2.26,2.31,2.15,2.16,76817.0
2024-05-01,2.18,2.335,2.04,2.05,265947.0
2024-05-02,2.09,2.09,1.895,2.02,393239.0
2024-05-03,2.34,3.63,2.23,2.59,20311473.0
2024-05-06,2.57,3.55,2.5,3.19,5291516.0
2024-05-07,3.15,3.55,2.9901,3.36,1596360.0
2024-05-08,3.35,3.35,2.88,2.945,516134.0
2024-05-09,2.94,3.12,2.8632,2.97,373151.0
2024-05-10,2.97,3.01,2.71,2.8,426252.0
2024-05-13,2.81,3.06,2.8,2.93,395416.0
2024-05-14,2.97,3.24,2.97,2.97,479373.0
2024-05-15,3.01,3.048,2.78,2.78,357520.0
2024-05-16,2.77,2.935,2.77,2.85,237709.0
2024-05-17,2.82,2.92,2.775,2.78,168219.0
2024-05-20,2.77,2.835,2.71,2.79,110229.0
2024-05-21,2.77,2.86,2.66,2.68,122963.0
2024-05-22,2.71,2.84,2.61,2.84,234919.0
2024-05-23,2.89,2.93,2.79,2.82,152609.0
2024-05-24,2.8,3.02,2.8,2.94,378545.0
2024-05-28,2.91,2.99,2.71,2.75,206207.0
2024-05-29,2.83,3.098,2.83,3.04,503607.0
2024-05-30,2.98,3.095,2.885,2.91,244935.0
2024-05-31,2.88,2.955,2.66,2.75,379130.0
2024-06-03,2.78,2.89,2.725,2.75,240941.0
2024-06-04,2.75,2.76,2.53,2.55,220515.0
2024-06-05,2.57,2.71,2.52,2.65,193131.0
2024-06-06,2.66,2.71,2.55,2.55,168806.0
2024-06-07,2.55,2.64,2.47,2.52,134171.0
2024-06-10,2.49,2.5393,2.37,2.47,143677.0
2024-06-11,2.46,2.465,2.355,2.41,128579.0
2024-06-12,2.5,2.7,2.48,2.48,171232.0
2024-06-13,2.57,2.7,2.57,2.63,205160.0
2024-06-14,2.63,2.655,2.59,2.63,118576.0
2024-06-17,2.66,2.665,2.48,2.57,202995.0
