date,open,high,low,close,volume
2023-11-27,32.42,33.14,31.5226,32.12,904395.0
2023-11-28,32.12,32.2999,30.7,30.89,1100432.0
2023-11-29,31.0,31.43,30.4,30.42,531964.0
2023-11-30,30.6,31.2199,30.18,30.83,557334.0
2023-12-01,30.68,31.215,30.554,31.09,600668.0
2023-12-04,31.16,31.34,29.55,30.07,693834.0
2023-12-05,29.8,31.4493,29.8,31.37,625725.0
2023-12-06,31.22,31.22,30.0681,30.1,509466.0
2023-12-07,30.3,30.76,29.86,29.89,557141.0
2023-12-08,30.08,30.46,29.9,30.39,727529.0
2023-12-11,30.62,30.62,29.66,30.15,673844.0
2023-12-12,30.09,30.21,29.2796,29.97,614501.0
2023-12-13,30.0,30.35,28.53,29.2,767830.0
2023-12-14,29.6,29.9799,29.06,29.22,770868.0
2023-12-15,29.01,29.44,28.6,28.61,562708.0
2023-12-18,29.04,30.84,29.04,30.44,844700.0
2023-12-19,30.24,31.205,30.06,30.97,625583.0
2023-12-20,31.04,31.24,30.5201,31.13,702516.0
2023-12-21,31.37,32.25,30.06,30.08,678518.0
2023-12-22,30.18,30.54,29.55,29.84,406832.0
2023-12-26,30.01,30.75,29.88,29.9,344929.0
2023-12-27,29.9,30.3465,29.6636,29.87,403925.0
2023-12-28,29.55,29.86,29.19,29.2,252978.0
2023-12-29,29.2,29.69,28.85,29.51,283668.0
2024-01-02,29.65,29.9605,28.43,28.51,331382.0
2024-01-03,28.7,30.45,28.64,30.12,654297.0
2024-01-04,30.16,30.52,29.29,29.48,278120.0
2024-01-05,29.82,30.06,29.3646,29.79,658492.0
2024-01-08,29.3,30.44,28.82,30.43,490581.0
2024-01-09,30.56,31.17,29.33,29.48,519575.0
2024-01-10,29.58,29.72,29.16,29.31,376166.0
2024-01-11,29.53,29.84,29.07,29.67,342061.0
2024-01-12,29.97,30.92,29.96,30.9,435948.0
2024-01-16,30.9,31.35,30.04,30.54,669435.0
2024-01-17,30.1,31.29,30.02,31.07,414256.0
2024-01-18,31.25,31.265,30.84,31.06,203099.0
2024-01-19,31.15,31.86,30.9,31.56,303780.0
2024-01-22,31.48,32.08,31.24,31.59,455986.0
2024-01-23,31.44,31.91,31.155,31.75,442125.0
2024-01-24,31.93,32.6,31.548,32.17,652500.0
2024-01-25,32.7,33.12,32.29,32.91,296859.0
2024-01-26,32.97,33.3,32.7,33.18,269608.0
2024-01-29,32.89,33.26,32.33,33.05,380546.0
