date,open,high,low,close,volume
2023-11-27,9.99,10.06,9.98,10.04,9656.0
2023-11-28,10.07,10.07,10.01,10.02,6786.0
2023-11-29,10.0,10.08,10.0,10.07,15134.0
2023-11-30,10.09,10.0955,10.035,10.06,9804.0
2023-12-01,10.04,10.23,10.04,10.16,18934.0
2023-12-04,10.08,10.2,10.08,10.19,25918.0
2023-12-05,10.17,10.2,10.13,10.2,22120.0
2023-12-06,10.18,10.2499,10.1613,10.22,7917.0
2023-12-07,10.21,10.27,10.2,10.2401,10846.0
2023-12-08,10.2,10.24,10.19,10.23,11550.0
2023-12-11,10.19,10.23,10.188,10.2,13763.0
2023-12-12,10.19,10.2996,10.19,10.2894,12935.0
2023-12-13,10.23,10.42,10.21,10.39,23497.0
2023-12-14,10.33,10.46,10.33,10.39,30952.0
2023-12-15,10.43,10.4404,10.35,10.43,13401.0
2023-12-18,10.4,10.4385,10.39,10.41,15674.0
2023-12-19,10.38,10.48,10.38,10.44,22951.0
2023-12-20,10.43,10.43,10.3243,10.3243,49624.0
2023-12-21,10.36,10.45,10.34,10.45,13062.0
2023-12-22,10.42,10.44,10.3978,10.4,16214.0
2023-12-26,10.38,10.45,10.38,10.42,25653.0
2023-12-27,10.46,10.49,10.41,10.44,25702.0
2023-12-28,10.42,10.5,10.4101,10.45,16541.0
2023-12-29,10.45,10.5,10.365,10.39,29934.0
2024-01-02,10.42,10.43,10.35,10.42,28874.0
2024-01-03,10.36,10.44,10.31,10.44,19571.0
2024-01-04,10.41,10.4292,10.38,10.4,16578.0
2024-01-05,10.38,10.4344,10.35,10.36,19074.0
2024-01-08,10.37,10.45,10.36,10.42,26830.0
2024-01-09,10.39,10.4406,10.39,10.43,13667.0
2024-01-10,10.48,10.498,10.42,10.44,63998.0
2024-01-11,10.48,10.5,10.42,10.46,36084.0
2024-01-12,10.45,10.74,10.45,10.56,127726.0
2024-01-16,10.52,10.52,10.4,10.44,30879.0
2024-01-17,10.39,10.4082,10.3,10.3,20571.0
2024-01-18,10.31,10.335,10.1312,10.25,63754.0
2024-01-19,10.28,10.31,10.21,10.31,51730.0
2024-01-22,10.31,10.3501,10.29,10.33,20091.0
2024-01-23,10.33,10.3547,10.3098,10.34,9031.0
2024-01-24,10.39,10.39,10.35,10.36,21639.0
2024-01-25,10.39,10.41,10.38,10.39,18252.0
2024-01-26,10.37,10.46,10.37,10.38,23098.0
2024-01-29,10.41,10.47,10.37,10.45,21480.0
2024-01-30,10.45,10.47,10.4,10.45,21670.0
2024-01-31,10.47,10.4999,10.42,10.46,19940.0
2024-02-01,10.48,10.55,10.48,10.54,14641.0
2024-02-02,10.45,10.52,10.45,10.48,9917.0
2024-02-05,10.5,10.5,10.3901,10.41,20268.0
2024-02-06,10.43,10.53,10.43,10.5102,11278.0
2024-02-07,10.49,10.6,10.49,10.58,25212.0
2024-02-08,10.64,10.64,10.5442,10.55,16559.0
2024-02-09,10.54,10.58,10.5381,10.56,23776.0
2024-02-12,10.59,10.615,10.55,10.55,39382.0
2024-02-13,10.54,10.54,10.4399,10.45,26803.0
2024-02-14,10.5,10.52,10.48,10.51,15316.0
2024-02-15,10.44,10.53,10.4272,10.51,45409.0
2024-02-16,10.48,10.5599,10.4,10.46,23374.0
2024-02-20,10.45,10.49,10.45,10.48,15024.0
2024-02-21,10.49,10.54,10.46,10.51,36956.0
2024-02-22,10.59,10.62,10.5,10.5,16057.0
2024-02-23,10.53,10.57,10.5,10.53,22397.0
2024-02-26,10.57,10.57,10.4901,10.5,10771.0
2024-02-27,10.55,10.55,10.4835,10.52,14803.0
2024-02-28,10.52,10.55,10.495,10.51,5023.0
2024-02-29,10.58,10.62,10.56,10.58,19141.0
2024-03-01,10.6,10.7,10.59,10.68,34729.0
2024-03-04,10.7,10.7,10.6101,10.625,23793.0
2024-03-05,10.64,10.64,10.6,10.6,13378.0
2024-03-06,10.62,10.67,10.6133,10.6247,18450.0
