date,open,high,low,close,volume
2023-11-27,1.3,1.33,1.1,1.14,33937.0
2023-11-28,1.17,1.37,1.17,1.25,39652.0
2023-11-29,1.2672,1.2888,1.21,1.23,12486.0
2023-11-30,1.23,1.26,1.19,1.19,7527.0
2023-12-01,1.2,1.22,1.2,1.22,3707.0
2023-12-04,1.25,1.32,1.2,1.23,2228.0
2023-12-05,1.1592,1.21,1.1061,1.21,5765.0
2023-12-06,1.11,1.1201,1.0713,1.12,21129.0
2023-12-07,1.0797,1.0797,0.99,0.99,36998.0
2023-12-08,1.01,1.02,0.975,1.01,39115.0
2023-12-11,0.99,1.04,0.975,1.0,21390.0
2023-12-12,1.0,1.0,0.9555,0.9555,7468.0
2023-12-13,0.75,0.9748,0.75,0.85,9871.0
2023-12-14,0.8226,0.9,0.8226,0.9,12457.0
2023-12-15,0.8782,0.8782,0.8073,0.8073,4156.0
2023-12-18,0.84,1.03,0.84,0.9999,13545.0
2023-12-19,1.0,1.07,0.9001,1.06,5511.0
2023-12-20,1.09,1.2499,1.09,1.2499,8630.0
2023-12-21,1.25,1.3,1.25,1.3,4604.0
2023-12-22,1.25,1.3,1.0198,1.168,39137.0
2023-12-26,1.24,1.27,1.19,1.21,58590.0
2023-12-27,1.21,1.21,1.1494,1.19,8022.0
2023-12-28,1.09,1.19,1.09,1.09,16249.0
2023-12-29,1.08,1.121,1.05,1.05,12855.0
2024-01-02,1.0,1.05,1.0,1.02,38930.0
2024-01-03,1.02,1.02,1.0,1.02,14032.0
2024-01-04,1.0,1.01,0.98,0.98,16717.0
2024-01-05,0.9999,0.9999,0.9733,0.98,4946.0
2024-01-08,1.0,1.0,0.9984,1.0,3188.0
2024-01-09,1.0,1.1399,0.98,1.13,41604.0
2024-01-10,1.2,1.37,0.9001,1.36,1059689.0
2024-01-11,1.21,1.3,1.12,1.3,25608.0
2024-01-12,1.2,1.3,1.15,1.18,6528.0
2024-01-16,1.14,1.21,1.0657,1.18,10690.0
2024-01-17,1.24,1.24,1.1,1.19,2685.0
2024-01-18,1.2023,1.24,1.2,1.24,2033.0
2024-01-19,1.24,1.24,1.11,1.195,3890.0
2024-01-22,1.16,1.19,1.0336,1.0501,16943.0
2024-01-23,1.08,1.09,1.01,1.01,10991.0
2024-01-24,1.06,1.2007,1.0287,1.0287,4995.0
2024-01-25,1.03,1.055,1.01,1.055,5008.0
2024-01-26,1.05,1.09,1.05,1.09,1041.0
2024-01-29,1.02,1.11,1.0,1.02,3311.0
2024-01-30,1.02,1.0625,1.0,1.05,3176.0
2024-01-31,1.0219,1.05,0.9271,0.9271,4896.0
2024-02-01,0.9271,0.9271,0.9271,0.9271,240.0
2024-02-02,0.93,0.93,0.93,0.93,1023.0
2024-02-05,0.9302,1.01,0.93,0.9301,11461.0
2024-02-06,0.9303,0.9359,0.93,0.93,1762.0
2024-02-07,0.93,1.01,0.93,0.9649,15872.0
2024-02-08,1.0,1.13,1.0,1.0,17027.0
