date,open,high,low,close,volume
2023-11-27,12.6,12.6,12.6,12.6,1084.0
2023-11-28,12.6408,12.75,12.6,12.6,4785.0
2023-11-29,12.51,13.06,12.5,12.8225,16813.0
2023-11-30,12.8,12.8001,12.71,12.72,1438.0
2023-12-01,12.52,12.97,12.52,12.97,1290.0
2023-12-04,12.97,12.97,12.97,12.97,146.0
2023-12-05,12.52,12.6,12.34,12.34,5463.0
2023-12-06,12.55,12.55,12.55,12.55,6142.0
2023-12-07,12.3639,12.3639,12.33,12.34,610.0
2023-12-08,12.33,12.5816,12.33,12.55,1499.0
2023-12-11,12.54,12.54,12.28,12.52,573.0
2023-12-12,12.3301,12.3301,12.3301,12.3301,183.0
2023-12-13,12.34,12.4,12.17,12.4,5944.0
2023-12-14,12.225,12.25,12.1,12.1,1998.0
2023-12-15,12.1,12.4,12.1,12.4,1552.0
2023-12-18,12.562,12.562,12.22,12.22,1000.0
2023-12-19,12.21,12.3001,12.21,12.3001,724.0
2023-12-20,12.3001,12.3001,12.3001,12.3001,3.0
2023-12-21,12.24,12.24,12.21,12.21,388.0
2023-12-22,12.14,12.14,12.13,12.1301,752.0
2023-12-26,12.1301,12.1301,12.1301,12.1301,14.0
2023-12-27,12.13,12.2,12.08,12.08,2109.0
2023-12-28,12.07,12.07,12.06,12.06,1048.0
2023-12-29,12.2,12.2,12.06,12.2,1537.0
2024-01-02,12.06,12.2,12.05,12.2,1067.0
2024-01-03,12.2,12.2,12.2,12.2,426.0
2024-01-04,12.38,12.38,12.38,12.38,192.0
2024-01-05,12.38,12.38,12.38,12.38,3.0
2024-01-08,12.37,12.37,12.37,12.37,112.0
2024-01-09,12.37,12.37,12.37,12.37,319.0
2024-01-10,12.37,12.37,12.37,12.37,20.0
2024-01-11,12.37,12.37,12.37,12.37,81.0
2024-01-12,12.37,12.37,12.37,12.37,23.0
2024-01-16,12.37,12.37,12.37,12.37,111.0
2024-01-17,12.26,12.26,12.26,12.26,1163.0
2024-01-18,12.37,12.37,12.215,12.37,2056.0
2024-01-19,12.37,12.37,12.37,12.37,154.0
2024-01-22,12.3699,12.37,12.3699,12.37,476.0
2024-01-23,12.23,12.37,12.23,12.37,530.0
2024-01-24,12.23,12.23,12.05,12.2199,8582.0
2024-01-25,12.2199,12.2199,12.2199,12.2199,99.0
2024-01-26,12.22,12.22,12.22,12.22,112.0
2024-01-29,12.2,12.2,12.2,12.2,124.0
2024-01-30,12.2,12.2,12.2,12.2,2112.0
2024-01-31,12.2,12.2,12.2,12.2,19.0
2024-02-01,12.06,12.06,12.05,12.05,1019.0
2024-02-02,12.05,12.0501,12.05,12.05,1771.0
2024-02-05,12.05,12.05,11.07,11.84,12696.0
2024-02-06,11.84,11.84,11.84,11.84,6.0
2024-02-07,11.84,11.84,11.84,11.84,49.0
2024-02-08,11.43,11.8,11.25,11.8,7506.0
2024-02-09,11.8,11.8,11.8,11.8,42.0
2024-02-12,11.34,11.8,11.26,11.8,1184.0
2024-02-13,11.8,11.8,11.8,11.8,5.0
2024-02-14,11.8,11.8,11.8,11.8,5.0
2024-02-15,11.8,11.8,11.8,11.8,4.0
2024-02-16,11.8,11.8,11.8,11.8,85.0
2024-02-20,11.5101,11.99,11.32,11.99,1475.0
2024-02-21,11.99,11.99,11.99,11.99,5.0
2024-02-22,11.99,11.99,11.99,11.99,4.0
2024-02-23,11.99,11.99,11.99,11.99,3.0
2024-02-26,11.99,11.99,11.99,11.99,62.0
2024-02-27,11.31,12.1,11.31,12.1,1102.0
2024-02-28,11.8,11.8,11.65,11.78,3458.0
2024-02-29,11.64,11.74,11.64,11.7399,1559.0
2024-03-01,11.7399,11.7399,11.7399,11.7399,52.0
2024-03-04,11.5,11.62,11.45,11.45,6335.0
